courier_id,order_number,courier_location_timestamp,courier_lat,courier_lon,order_created_timestamp,restaurant_lat,restaurant_lon,restaurant_id,dist_to_restaurant,avg_dist_to_restaurants,Hdist_to_restaurant,avg_Hdist_to_restaurants,Five_Clusters_embedding,Five_Clusters_embedding_error,h3_index,date_day_number,date_hour_number,orders_busyness_by_h3_hour,restaurants_per_index
189,281338999,47:20.9,50.4951468,-104.6731389,2021-04-02 5:26,50.4951455,-104.6730569,73,8.20E-05,0.087383104,0.005803787,7.465106309,0,0.028634683,5,92,5,397,35
345,281245041,23:45.3,50.46338539,-104.6185523,2021-04-02 3:12,50.4632682,-104.6185189,15,0.000121854,0.048352439,0.013246946,4.247751775,0,0.042381992,22,92,3,301,69
115,281291269,44:34.3,50.40605192,-104.6192402,2021-04-02 4:23,50.40611705,-104.6194102,74,0.000182092,0.062112714,0.014063607,5.939559814,1,0.006031652,21,92,4,278,52
131,281306397,20:10.3,50.44211522,-104.573371,2021-04-02 4:44,50.4462668,-104.5711457,75,0.004710344,0.053826363,0.487924718,4.367051948,2,0.019199023,23,92,5,484,65
156,281309775,15:00.8,50.49623886,-104.6383426,2021-04-02 4:48,50.49620414,-104.638556,76,0.000216193,0.068040448,0.015584042,6.351746198,0,0.00624276,6,92,5,941,59
472,281298679,51:25.3,50.4483139,-104.5363528,2021-04-02 4:33,50.44823384,-104.5361866,6,0.000184452,0.074120674,0.014758281,5.640339625,3,0.008395914,11,92,4,319,53
249,281354995,59:20.2,50.48470348,-104.6078275,2021-04-02 5:46,50.4847602,-104.6077394,77,0.000104771,0.056686377,0.008869612,5.278369518,0,0.038685022,28,92,5,761,51
149,280963648,39:35.2,50.47229758,-104.5823277,2021-04-01 6:29,50.4723102,-104.5824233,78,9.64E-05,0.055925234,0.006912628,4.85460634,2,0.029445173,29,91,6,32,32
135,280931287,03:32.3,50.4954143,-104.6667378,2021-04-01 5:34,50.49525535,-104.666377,26,0.000394233,0.082743961,0.031050943,7.18818878,0,0.022229312,5,91,6,234,35
11,280960060,40:39.4,50.40223022,-104.6203945,2021-04-01 6:23,50.4023037,-104.6206681,79,0.000283308,0.064987126,0.021049284,6.277905402,1,0.003383938,21,91,6,525,52
15,281272458,02:40.2,50.45477436,-104.6177349,2021-04-02 3:56,50.45483602,-104.6175157,80,0.000227776,0.046892783,0.016975125,4.059298317,4,0.040289849,22,92,4,487,69
3,281348534,45:44.3,50.485437,-104.6172404,2021-04-02 5:38,50.4852753,-104.6174749,81,0.000284846,0.057047946,0.024472195,5.321796102,0,0.029604395,28,92,5,761,51
309,281230172,02:34.3,50.45543457,-104.6714275,2021-04-02 2:44,50.4555813,-104.6714388,24,0.000147167,0.07680127,0.016340272,6.062624919,0,0.049372279,4,92,3,9,10
393,280955106,40:15.3,50.49563314,-104.6693647,2021-04-01 6:14,50.4951598,-104.6657333,4,0.003662126,0.08474893,0.26228058,7.319730192,0,0.024839583,5,91,6,234,35
191,280946035,20:58.1,50.46992804,-104.6189121,2021-04-01 5:59,50.469785,-104.6187934,82,0.000185903,0.050135945,0.017994213,4.471345814,0,0.037182256,28,91,6,642,51
249,281289840,28:30.2,50.46967667,-104.6176605,2021-04-02 4:21,50.4698709,-104.6175497,83,0.000223594,0.049865525,0.022982407,4.448080921,0,0.03823453,28,92,4,422,51
491,280948396,19:00.3,50.45454778,-104.5581009,2021-04-01 6:03,50.4544035,-104.5581807,84,0.000164887,0.06091007,0.017014315,4.816282863,2,0.000691826,17,91,6,701,75
